Track Name,Artist,Track URL,Duration (s),Danceability,Acousticness,Energy,Liveness,Loudness (dB),Speechiness,Tempo (BPM),Popularity,Release Date,Lyrics,Language
Yaar yaaro etho pesi
Un manasa thaan
En nenappa azhikka paartha
Athu mudiyala thaan
Thanna thaniya nadakkuren kaattu’la
Naan ippo polamburena
Vellam yeruthu manasu muzhusa
Un poo mugam dhaan
Ullukulleye...
Nee unna vechiye
Nee enna thachiye
Un usurukulla
Ullukulleye...
(Yaar unnai)
Nee unna vechiye
(Sonnalum)
Nee ennai thachiye
(Nenjile unnaa vachi sumappene anbe)
Nannane naane na..
(Music)
Kannukulle thondridum kaatchigal mugamanathu
Un mugamanathu...
Kanneer ingu alayena thengi
Nadhiyanathu, athu kadalaanathu
Neenthi thaan paakanumuna
Varuven unai paakave
Maranam ena seendina
Unakkagave uyir vazhvene
Yaar yaaro etho pesi
Un manasa thaan
En nenappa azhikka paartha
Athu mudiyala thaan
Thanna thaniya nadakkuren kaattula
Naan ippo pulamburena
Vellam yeruthu manasula muzhusa
Un poo mugam thaan",tl
Ennavaley,Dhilip Varman,https://open.spotify.com/track/1pM9kwOy7CnjRNVzOHJ2kf,243.948,0.764,0.634,0.706,0.0668,-6.828,0.0779,104.914,51,2010-04-06,Lyrics not found,en
Manike Mage Hithe,Chamath Sangeeth,https://open.spotify.com/track/5JO2usoem1CW1pLL1kLj9E,162.772,0.836,0.713,0.51,0.101,-10.091,0.371,151.499,52,2021-05-22,"[Lyrisc for ""Manike Mage Hithe මැණිකේ මගේ හිතේ - Official Cover - Yohani & Satheeshan]
[Chrous: Yohani]
Manike mage hithe muddle nura
Hangum yawi awilewi
Neriye numbe nage mage neth eha
Meha yawi sihiwewi
Ma hitha langama dawatena
Huru pemaka patalena
Ruwa nari manahari
Sukumali numba thama
Hitha langama dawatena
Huru pemaka patalena
Ruwa nari manahari
Sukumali numba thama
[Verse 1: Yohani and 
Satheeshan
]
Manike mage hithe
Ithin epa matanam wangu
Gatha hitha numba magema hangu
Ale numbatama walangu
Manike wennepa thawa sunangu
Game katakarama kella
Hitha wela numbs ruwata billa
Nathin netha gaththama alla
Mage hithath na matama mella
Kelle kelle wela mage hitha
Paththu wenawada thawa tikak
Kittu mata pissu thadawena widihata gassu
Oya dunnu ingiyata mathwu
Bambareki mama thatu issu
Oya watakaragena raswu
Roththen hitha aragaththu bambara",sw
"Adipoli (From ""Think Originals"")",Siddhu Kumar,https://open.spotify.com/track/1rvJahl2EPy25dSsBNzTr4,172.75,0.573,0.586,0.6,0.15,-7.751,0.3,149.982,58,2021-08-20,Lyrics not found,en
Neram (feat. Dhinesh Nagarajan),Shakti Sivamani,https://open.spotify.com/track/3djy8bjwOBaLvmyOcf4Ldt,257.2,0.484,0.0127,0.662,0.212,-6.166,0.038,139.935,41,2017-05-31,Lyrics not found,en
Nesamaguren,Stephen Zechariah,https://open.spotify.com/track/6P8dmbcOEz7XPFQjd1V6d5,263.6,0.413,0.602,0.419,0.13,-10.592,0.0314,149.658,57,2021-04-29,Lyrics not found,en
Vilagathey,Stephen Zechariah,https://open.spotify.com/track/7CqLoC73W8KnqkbzIXWxLx,376.0,0.347,0.125,0.666,0.147,-6.064,0.0697,166.168,0,2019-05-22,Lyrics not found,en
Katthi,Santesh,https://open.spotify.com/track/6id01ayZW6GNqKTYDvVREN,244.973,0.759,0.0353,0.929,0.225,-5.582,0.128,104.968,52,2017-09-11,"[Hook]
Tajj Naal Sochdi Ni Chajj Kardi
Duniyan Taan Rab Nu Judge Kardi
Bhooki Badnaam Rajj Rajj Kardi
Veere Duniyan Taan Rab Nu Judge Kardi
{Producer Tag : Yeah Proof! }
[Verse: 1]
Kise Kol Jawaab Ni Har Ek Kol Sawaal Aa
Duniyan Kamaal Aa Kamaal Aa Kamaal Aa
Jehdeyan De Karke Ni Sadaa Ae Haal Aa
Oh Halle Tak Aakhi Jande Appa Tere Naal Aa
Duniyan De Chubda Rakane Jiva Jaagda
Ikko Mere Dil'ch Rawa Hi Ni Sakda
Ae Taan Gall Manni Ajj Kal Lok Tez Ne
Ni Enne Vi Ni Bhole Sahnu Pata Hi Ni Lagda
Dimaag Nu Lada Laye Oh Damaag Ghatt Lad’da
Pata Hunda Hoye Dasso Teer Kehda Phad’da
Kitte Jaiye Marge Na Jaiye Taan Vi Mareya
Hun Dasso Marne Nu Kihda Dil Karda",id
Shape Of Hamma,Ben Human,https://open.spotify.com/track/0jTKAJ8KUzyZOTQbY7jggi,182.787,0.926,0.576,0.361,0.0911,-8.704,0.175,95.991,38,2017-04-15,"Berkshire’s Corporate Performance vs. the S&P 500
BERKSHIRE HATHAWAY INC.
To the Shareholders of Berkshire Hathaway Inc.:
The per-share book value of both our Class A and Class B stock increased by 4.6% in 2011
. Over the last 47 years (that is, since present management took over), book value has grown from $19 to $99,860, a rate of 19.8% compounded annually.*
Charlie Munger, Berkshire’s Vice Chairman and my partner, and I feel good about the company’s progress during 2011. Here are the highlights:
- The primary job of a Board of Directors is to see that the right people are running the business and to be sure that the next generation of leaders is identified and ready to 
take over tomorrow.
 
I have been on 19 corporate boards
, and Berkshire’s directors are at the top of the list in the time and diligence they have devoted to succession planning. What’s more, their efforts have paid off.
As 2011 started, Todd Combs joined us as an investment manager, and shortly after yearend Ted Weschler came aboard. Both of these men have outstanding investment skills and a deep commitment to Berkshire. Each will be handling a few billion dollars in 2012, but they have the brains, judgment and character to manage our entire portfolio when Charlie and I are no longer running Berkshire.
Your Board is equally enthusiastic about my successor as CEO, an individual to whom they have had a great deal of exposure and whose managerial and human qualities they admire. (We have two superb back-up candidates as well.) When a transfer of responsibility is required, it will be seamless, and Berkshire’s prospects will remain bright. More than 98% of my net worth is in Berkshire stock, all of which will go to various philanthropies. Being so heavily concentrated in one stock defies conventional wisdom. But I’m fine with this arrangement, knowing both the quality and diversity of the businesses we own and the caliber of the people who manage them. With these assets, my successor will enjoy a running start. Do not, however, infer from this discussion that Charlie and I are going anywhere; we continue to be in excellent health, and we love what we do.
- 
On September 16th we acquired Lubrizol, a worldwide producer of additives and other specialty chemicals.
 
The company has had an outstanding record since James Hambrick became CEO in 2004, with pre-tax profits increasing from $147 million to $1,085 million.
 
Lubrizol will have many opportunities for “bolt-on” acquisitions in the specialty chemical field.
 Indeed, we’ve already agreed to three, costing $493 million. James is a disciplined buyer and a superb operator. Charlie and I are eager to expand his managerial domain.
- Our major businesses did well last year. In fact, 
each
 of our five largest non-insurance companies – 
BNSF,
 
Iscar,
 Lubrizol, 
Marmon Group
 and MidAmerican Energy – delivered record operating earnings. 
In aggregate these businesses earned more than $9 billion pre-tax in 2011. Contrast that to seven years ago, when we owned only one of the five, MidAmerican, whose pre-tax earnings were $393 million.
 
Unless the economy weakens in 2012, 
each
 of our fabulous five should again set a record, with aggregate earnings comfortably topping $10 billion.
* All per-share figures used in this report apply to Berkshire’s A shares. Figures for the B shares are 1/1500th of those shown for A.
- In total, our entire string of operating companies spent $8.2 billion for property, plant and equipment in 2011, smashing our previous record by more than $2 billion. About 95% of these outlays were made in the U.S., a fact that may surprise those who believe our country lacks investment opportunities. We welcome projects abroad, but expect the overwhelming majority of Berkshire’s future capital commitments to be in America. In 2012, these expenditures will again set a record.
- Our insurance operations continued their delivery of costless capital that funds a myriad of other opportunities. This business produces “float” – money that doesn’t belong to us, but that we get to invest for Berkshire’s benefit. And if we pay out less in losses and expenses than we receive in premiums, we additionally earn an underwriting profit, meaning the float costs us less than nothing. Though we are sure to have underwriting losses from time to time, we’ve now had nine consecutive
years of underwriting profits, totaling about $17 billion. Over the same nine years our float increased from $41 billion to its current record of $70 billion. Insurance has been good to us.
- Finally, we made two major investments in marketable securities: (1) a $5 billion 6% preferred stock of Bank of America that came with warrants allowing us to buy 700 million common shares at $7.14 per share any time before September 2, 2021; and (2) 63.9 million shares of IBM that cost us $10.9 billion. Counting IBM, we now have large ownership interests in four exceptional companies: 13.0% of American Express, 8.8% of Coca-Cola, 5.5% of IBM and 7.6% of Wells Fargo. (We also, of course,
have many smaller, but important, positions.)
We view these holdings as partnership interests in wonderful businesses, not as marketable securities to be bought or sold based on their near-term prospects. Our share of 
their
 earnings, however, are far from fully reflected in 
our
 earnings; only the dividends we receive from these businesses show up in our financial reports. Over time, though, the undistributed earnings of these companies that are attributable to our ownership are of huge importance to us. That’s because they will be used in a variety of ways to increase future earnings and dividends of the investee. They may also be devoted to stock repurchases,
which will increase our share of the company’s future earnings.
Had we owned our present positions throughout last year, our dividends from the “Big Four” would have been $862 million. That’s all that would have been reported in Berkshire’s income statement. Our share of this quartet’s earnings, however, would have been far greater: $3.3 billion. Charlie and I believe that the $2.4 billion that goes unreported on our books creates at least that amount of value for Berkshire as it fuels earnings gains in future years. We expect the combined earnings of the four – and
their dividends as well – to increase in 2012 and, for that matter, almost every year for a long time to come. A decade from now, our current holdings of the four companies might well account for earnings of $7 billion, of which $2 billion in dividends would come to us.
I’ve run out of good news. Here are some developments that hurt us during 2011:
- A few years back, I spent about $2 billion buying several bond issues of Energy Future Holdings, an electric utility operation serving portions of Texas. That was a mistake – a 
big
 mistake. In large measure, the company’s prospects were tied to the price of natural gas, which tanked shortly after our purchase and remains depressed. Though we have annually received interest payments of about $102 million since our purchase, the company’s ability to pay will soon be exhausted unless gas prices rise substantially. We wrote down our investment by $1 billion in 2010 and by an additional $390 million last year.
At yearend, we carried the bonds at their market value of $878 million. If gas prices remain at present levels, we will likely face a further loss, perhaps in an amount that will virtually wipe out our current carrying value. Conversely, a substantial increase in gas prices might allow us to recoup some, or even all, of our write-down. However things turn out, I totally miscalculated the gain/loss probabilities when I purchased the bonds. In tennis parlance, this was a major unforced error by your chairman.
- Three large and very attractive fixed-income investments were called away from us by their issuers in 2011. Swiss Re, Goldman Sachs and General Electric paid us an aggregate of $12.8 billion to redeem securities that were producing about $1.2 billion of pre-tax earnings for Berkshire. That’s a lot of income to replace, though our Lubrizol purchase did offset most of it.
- Last year, I told you that “a housing recovery will probably begin within a year or so.” I was dead wrong. We have five businesses whose results are significantly influenced by housing activity. The connection is direct at Clayton Homes, which is the largest producer of homes in the country, accounting for about 7% of those constructed during 2011.
Additionally, Acme Brick, Shaw (carpet), Johns Manville (insulation) and MiTek (building products, primarily connector plates used in roofing) are all materially affected by construction activity. In aggregate, our five housing-related companies had pre-tax profits of $513 million in 2011. That’s similar to 2010 but down from $1.8 billion in 2006.
Housing will come back – you can be sure of that. Over time, the number of housing units necessarily matches the number of households (after allowing for a normal level of vacancies). For a period of years prior to 2008, however, America added more housing units than households. Inevitably, we ended up with far too many units and the bubble popped with a violence that shook the entire economy. That created still another problem for housing: Early in a recession, household formations slow, and in
2009 the decrease was dramatic.
That devastating supply/demand equation is now reversed: Every day we are creating more households than housing units. People may postpone hitching up during uncertain times, but eventually hormones take over. And while “doubling-up” may be the initial reaction of some during a recession, living with in-laws can quickly lose its allure.
At our current annual pace of 600,000 housing starts – considerably less than the number of new households being formed – buyers and renters are sopping up what’s left of the old oversupply. (This process will run its course at different rates around the country; the supply-demand situation varies widely by locale.) While this healing takes place, however, our housing-related companies sputter, employing only 43,315 people compared to 58,769 in 2006. This hugely important sector of the economy, which includes not only construction but everything that feeds off of it, remains in a 
depression
 of its own. I believe this is the major reason a recovery in employment has so severely lagged the steady and substantial comeback we have seen in almost all other sectors of our economy.
Wise monetary and fiscal policies play an important role in tempering recessions, but these tools don’t create households nor eliminate excess housing units. Fortunately, demographics and our market system will restore the needed balance – probably before long. When that day comes, we will again build one million or more residential units annually. I believe pundits will be surprised at how far unemployment drops once that happens. They will then reawake to what has been true since 1776: America’s best days lie ahead.
Intrinsic Business Value
Charlie and I measure our performance by the rate of gain in Berkshire’s per-share intrinsic business value. If our gain over time outstrips the performance of the S&P 500, we have earned our paychecks. If it doesn’t, we are overpaid at any price.
We have no way to pinpoint intrinsic value. But we do have a useful, 
though considerably understated,
 proxy for it: per-share book value. This yardstick is meaningless at most companies. At Berkshire, however, book value very roughly tracks business values. That’s because the amount by which Berkshire’s intrinsic value exceeds book value does not swing wildly from year to year, though it increases in most years. Over time, the divergence will likely become ever more substantial in absolute terms, remaining reasonably steady, however, on a percentage basis as both the numerator and denominator of the business-value/book-value equation increase.
We’ve regularly emphasized that our book-value performance is almost certain to outpace the S&P 500 in a bad year for the stock market and just as certainly will fall short in a strong up-year. The test is how we do over time. Last year’s annual report included a table laying out results for the 42 five-year periods since we took over at Berkshire in 1965 (i.e., 1965-69, 1966-70, etc.). All showed our book value beating the S&P, and our string held for 2007-11. It will almost certainly snap, though, if the S&P 500 should put together a five-year winning streak (which it may well be on its way to doing as I write this).
************
I also included two tables last year that set forth the key quantitative ingredients that will help you estimate our per-share intrinsic value. I won’t repeat the full discussion here; you can find it reproduced on pages 99-100. To update the tables shown there, our per-share investments in 2011 increased 4% to $98,366, and our pre-tax earnings from businesses other than insurance and investments increased 18% to $6,990 per share.
Charlie and I like to see gains in both areas, but our primary focus is on building operating earnings. Over time, the businesses we currently own should increase their aggregate earnings, and we hope also to purchase some large operations that will give us a further boost. We now have eight subsidiaries that would each be included in the Fortune 500 were they stand-alone companies. That leaves only 492 to go. My task is clear, and I’m on the prowl.
Share Repurchases
Last September, we announced that Berkshire would repurchase its shares at a price of up to 110% of book value. We were in the market for only a few days – buying $67 million of stock – before the price advanced beyond our limit. Nonetheless, the general importance of share repurchases suggests I should focus for a bit on the subject.
Charlie and I favor repurchases when two conditions are met: first, a company has ample funds to take care of the operational and liquidity needs of its business; second, its stock is selling at a material discount to the company’s intrinsic business value, conservatively calculated.
We have witnessed many bouts of repurchasing that failed our second test. Sometimes, of course, infractions – even serious ones – are innocent; many CEOs never stop believing their stock is cheap. In other instances, a less benign conclusion seems warranted. It doesn’t suffice to say that repurchases are being made to offset the dilution from stock issuances or simply because a company has excess cash. Continuing shareholders are 
hurt
 unless shares are purchased below intrinsic value. The first law of capital allocation – whether the money is slated for acquisitions or share repurchases – is that what is smart at one price is dumb at another. (One CEO who always stresses the price/value factor in repurchase decisions is Jamie Dimon at J.P. Morgan; I recommend that you read his annual letter.)
Charlie and I have mixed emotions when Berkshire shares sell well below intrinsic value. We like making money for continuing shareholders, and there is no surer way to do that than by buying an asset – our own stock – that we know to be worth 
at least
 x for less than that – for .9x, .8x or even lower. (As one of our directors says, it’s like shooting fish in a barrel, 
after
 the barrel has been drained and the fish have quit flopping.) Nevertheless, we don’t enjoy cashing out partners at a discount, even though our doing so may give the selling shareholders a slightly higher price than they would receive if our bid was absent. When we are buying, therefore, we want those exiting partners to be fully informed about the value of the assets they are selling.
At our limit price of 110% of book value, repurchases clearly increase Berkshire’s per-share intrinsic value. And the more and the cheaper we buy, the greater the gain for continuing shareholders. Therefore, if given the opportunity, we will likely repurchase stock aggressively at our price limit or lower. You should know, however, that we have no interest in supporting the stock and that our bids will fade in particularly weak markets. Nor will we buy shares if our cash-equivalent holdings are below $20 billion. At Berkshire, financial strength that is unquestionable takes precedence over all else.
************
This discussion of repurchases offers me the chance to address the irrational reaction of many investors to changes in stock prices. When Berkshire buys stock in a company that is repurchasing shares, we hope for two events: First, we have the normal hope that earnings of the business will increase at a good clip for a long time to come; and second, we also hope that the stock 
underperforms
 in the market for a long time as well. A corollary to this second point: “Talking our book” about a stock we own – were that to be effective – would actually be harmful to Berkshire, not helpful as commentators customarily assume.
Let’s use IBM as an example. As all business observers know, CEOs Lou Gerstner and Sam Palmisano did a superb job in moving IBM from near-bankruptcy twenty years ago to its prominence today. Their operational accomplishments were truly extraordinary.
But their financial management was equally brilliant, particularly in recent years as the company’s financial flexibility improved. Indeed, I can think of no major company that has had better financial management, a skill that has materially increased the gains enjoyed by IBM shareholders. The company has used debt wisely, made value-adding acquisitions almost exclusively for cash and aggressively repurchased its own stock.
Today, IBM has 1.16 billion shares outstanding, of which we own about 63.9 million or 5.5%. Naturally, what happens to the company’s earnings over the next five years is of enormous importance to us. Beyond that, the company will likely spend $50 billion or so in those years to repurchase shares. Our quiz for the day: What should a long-term shareholder, such as Berkshire, cheer for during that period?
I won’t keep you in suspense. We should wish for IBM’s stock price to 
languish
 throughout the five years.
Let’s do the math. If IBM’s stock price averages, say, $200 during the period, the company will acquire 250 million shares for its $50 billion. There would consequently be 910 million shares outstanding, and we would own about 7% of the company. If the stock conversely sells for an average of $300 during the five-year period, IBM will acquire only 167 million shares. That would leave about 990 million shares outstanding after five years, of which we would own 6.5%.
If IBM were to earn, say, $20 billion in the fifth year, our share of those earnings would be a full $100 million greater under the “disappointing” scenario of a lower stock price than they would have been at the higher price. At some later point our shares would be worth perhaps $11 ⁄2 billion more than if the “high-price” repurchase scenario had taken place.
